method,global_track_id,experiment,year,n_points,start,end,duration,compared,near_count,min_nearest_km,mean_nearest_km,lat_min,lat_max,lon_min,lon_max,prob_mean
ML,ML_CTL_46_0012,CTL,46,32,944,976,33,32,4,686.8519288069649,913.1374855900935,10.421052932739258,25.578947067260746,270.0,307.5,0.7195757191896057
ML,ML_GGW_98_0002,GGW,98,28,924,953,30,28,5,235.55532134246056,1215.990952184627,14.210526466369627,21.789474487304688,295.0,337.5,0.7757016957839598
ML,ML_GGW_93_0014,GGW,93,25,1017,1042,26,19,5,220.02800991266858,1471.7324958312956,23.6842098236084,40.73684310913086,332.5,337.5,0.8751306566394074
ML,ML_CTL_37_0007,CTL,37,33,896,929,34,33,6,655.3376051487276,1160.536214354548,12.315789222717283,27.47368431091309,287.5,322.5,0.7768258253264512
ML,ML_GGW_92_0005,GGW,92,31,860,894,35,21,6,335.8222617807133,960.6244227420776,16.105262756347656,31.263158798217773,290.0,317.5,0.6742643486839953
ML,ML_CTL_40_0010,CTL,40,28,877,904,28,28,6,587.2083260799456,953.4238823590119,16.105262756347656,21.789474487304688,262.5,295.0,0.8176404415686436
ML,ML_GGW_119_0009,GGW,119,25,924,948,25,24,6,224.56140068429715,1345.7910887889404,21.789474487304688,38.84210586547852,307.5,330.0,0.7431797497154459
ML,ML_GGW_94_0019,GGW,94,24,1025,1048,24,9,6,472.2441752243448,741.6579046911871,14.210526466369627,19.894737243652344,322.5,337.5,0.691125163081897
ML,ML_CTL_35_0004,CTL,35,87,842,928,87,86,7,584.2833487283016,2233.9804744463586,12.315789222717283,44.52631759643555,267.5,340.0,0.8321994388041771
ML,ML_GGW_90_0016,GGW,90,30,1019,1048,30,30,7,507.9357179320973,1710.8612882537384,18.0,38.84210586547852,322.5,330.0,0.85693690267833
ML,ML_CTL_56_0012,CTL,56,29,987,1015,29,21,7,452.93153964070046,1080.0348990435918,14.210526466369627,19.894737243652344,307.5,340.0,0.7468466866600457
ML,ML_GGW_103_0017,GGW,103,24,1058,1081,24,22,7,117.73326287378764,3241.691681309298,31.263158798217773,48.31578826904297,287.5,307.5,0.7472566770124752
ML,ML_GGW_97_0012,GGW,97,38,942,979,38,38,8,460.0720039407225,2633.8897220694403,25.578947067260746,33.157894134521484,260.0,272.5,0.7554041600447302
ML,ML_GGW_94_0018,GGW,94,27,991,1017,27,27,8,580.7799690088499,1989.8481328893324,16.105262756347656,25.578947067260746,305.0,327.5,0.7221146770131379
ML,ML_CTL_40_0013,CTL,40,62,925,986,62,61,9,565.4708541815274,1282.134710221083,18.0,29.36842155456543,267.5,342.5,0.9138544388490372
ML,ML_CTL_51_0015,CTL,51,56,913,968,56,56,9,635.752582200437,1343.6554411936056,12.315789222717283,35.05263137817383,290.0,337.5,0.8301416415551007
ML,ML_CTL_39_0009,CTL,39,46,881,926,46,46,9,415.3513993536746,1541.7936836186127,16.105262756347656,46.42105102539063,297.5,327.5,0.8523498612916321
ML,ML_GGW_97_0017,GGW,97,44,1002,1045,44,44,9,280.7886391654322,1257.0538841720268,14.210526466369627,31.263158798217773,307.5,332.5,0.8025729797562314
ML,ML_CTL_37_0005,CTL,37,41,825,865,41,34,9,410.6046361151452,1028.6772044582422,12.315789222717283,33.157894134521484,292.5,325.0,0.827958411854865
ML,ML_CTL_44_0011,CTL,44,41,933,973,41,29,9,506.92213707917097,1265.53970124926,14.210526466369627,18.0,262.5,312.5,0.7250664278988723
ML,ML_CTL_51_0005,CTL,51,35,783,817,35,35,9,370.60045831567277,1677.6717537311933,29.36842155456543,44.52631759643555,280.0,315.0,0.8060230304092837
ML,ML_CTL_60_0011,CTL,60,28,1060,1091,32,27,9,307.0013389184907,865.364917560528,16.105262756347656,23.6842098236084,292.5,322.5,0.745688598514968
ML,ML_GGW_107_0012,GGW,107,28,987,1014,28,28,9,463.19078338112536,1449.9651604604257,35.05263137817383,48.31578826904297,285.0,337.5,0.8537586403635622
ML,ML_GGW_101_0009,GGW,101,25,871,895,25,25,9,235.45424587321136,1625.9687368895432,40.73684310913086,48.31578826904297,327.5,337.5,0.8164463059620967
ML,ML_GGW_90_0017,GGW,90,56,1036,1091,56,56,10,505.34205492581907,1224.3157527238861,12.315789222717283,25.578947067260746,277.5,340.0,0.7847333317748048
ML,ML_CTL_40_0018,CTL,40,40,1046,1091,46,29,10,234.40425250754487,1086.168173436276,10.421052932739258,25.578947067260746,302.5,335.0,0.8104843948643264
ML,ML_GGW_94_0007,GGW,94,27,851,877,27,27,10,335.7972798821359,1055.1789033124967,14.210526466369627,23.6842098236084,285.0,312.5,0.7194149600781642
ML,ML_GGW_92_0014,GGW,92,26,1030,1055,26,26,10,171.21375945313358,1985.0977062953543,40.73684310913086,46.42105102539063,317.5,347.5,0.876014355557477
ML,ML_CTL_51_0016,CTL,51,24,936,959,24,24,10,9.907244087490861,1118.6174463359866,16.105262756347656,18.0,325.0,342.5,0.7586836638750146
ML,ML_CTL_51_0011,CTL,51,42,851,892,42,42,11,383.075541088269,1419.271672703158,14.210526466369627,36.94736862182617,297.5,340.0,0.7733334720484638
ML,ML_GGW_90_0006,GGW,90,41,878,918,41,41,11,253.01403076281088,1600.0934023444186,16.105262756347656,38.84210586547852,310.0,335.0,0.7982360170215144
ML,ML_GGW_90_0003,GGW,90,39,837,875,39,39,11,433.7692895350563,1055.6398660904592,14.210526466369627,27.47368431091309,290.0,335.0,0.7860490047269599
ML,ML_GGW_103_0008,GGW,103,28,909,936,28,28,11,407.10541825703257,1321.2474915767586,16.105262756347656,46.42105102539063,305.0,325.0,0.8044023733902878
ML,ML_GGW_103_0010,GGW,103,25,961,985,25,25,11,448.3680611102413,1630.8422216033234,14.210526466369627,19.894737243652344,277.5,310.0,0.7106947483203712
ML,ML_CTL_43_0011,CTL,43,59,997,1055,59,47,12,627.0758670106748,1896.530773714011,12.315789222717283,48.31578826904297,287.5,337.5,0.7683228247248579
ML,ML_GGW_117_0011,GGW,117,59,945,1004,60,42,12,206.39197509873503,2396.6010310936376,12.315789222717283,38.84210586547852,275.0,330.0,0.8418059881005006
ML,ML_CTL_47_0007,CTL,47,57,882,938,57,53,12,469.1419475807466,1114.1845016290056,12.315789222717283,21.789474487304688,262.5,317.5,0.7156028534985649
ML,ML_CTL_46_0014,CTL,46,49,950,998,49,49,12,556.272259907138,1572.99012912201,14.210526466369627,21.789474487304688,292.5,340.0,0.7853376518783235
ML,ML_CTL_51_0014,CTL,51,39,907,945,39,39,12,190.9256261909596,1292.0641219732713,23.6842098236084,48.31578826904297,320.0,335.0,0.9215117180331859
ML,ML_CTL_59_0013,CTL,59,35,1057,1091,35,23,12,80.02569128399624,1944.6278640459327,33.157894134521484,46.42105102539063,285.0,317.5,0.8098219413584896
