experiment,year,global_track_id,track_id,time,lat,lon,windMax,twarm,jetcore,time_index,month
CTL,39,OWZ_CTL_39_0234,234,-15430260,22.080514907836914,284.8843994140625,7.0298027992248535,,0,1058,9
CTL,39,OWZ_CTL_39_0234,234,-15430254,22.173925399780273,284.87933349609375,6.0166120529174805,,0,1059,9
CTL,39,OWZ_CTL_39_0234,234,-15430248,24.108917236328125,278.6460266113281,8.841323852539062,1.4978500604629517,0,1060,9
CTL,39,OWZ_CTL_39_0234,234,-15430242,22.280658721923828,284.8868408203125,8.564309120178223,,0,1061,9
CTL,39,OWZ_CTL_39_0234,234,-15430236,23.362119674682617,284.8343200683594,8.927899360656738,,0,1062,9
CTL,39,OWZ_CTL_39_0234,234,-15430230,23.86483383178711,284.8310546875,9.241668701171875,,0,1063,9
CTL,39,OWZ_CTL_39_0234,234,-15430224,23.87784194946289,284.8410949707031,9.747597694396973,,0,1064,9
CTL,39,OWZ_CTL_39_0234,234,-15430218,23.904800415039062,284.3924560546875,10.416016578674316,,0,1065,9
CTL,39,OWZ_CTL_39_0234,234,-15430212,23.978893280029297,284.21356201171875,7.618249416351318,,0,1066,9
CTL,39,OWZ_CTL_39_0234,234,-15430206,25.05652618408203,284.5384216308594,9.004134178161621,,0,1067,9
CTL,39,OWZ_CTL_39_0234,234,-15430200,25.017730712890625,283.8504638671875,10.17093563079834,,0,1068,9
CTL,39,OWZ_CTL_39_0234,234,-15430194,23.94550323486328,278.68316650390625,12.325763702392578,1.1488933563232422,0,1069,9
CTL,39,OWZ_CTL_39_0234,234,-15430188,27.44968605041504,282.2061462402344,10.096744537353516,,0,1070,9
CTL,39,OWZ_CTL_39_0234,234,-15430182,29.048307418823242,282.04144287109375,9.330629348754883,,0,1071,9
CTL,39,OWZ_CTL_39_0235,235,-15430422,30.542404174804688,285.9456787109375,2.988348960876465,,0,1031,9
CTL,39,OWZ_CTL_39_0235,235,-15430416,27.85324478149414,288.3271484375,3.3911898136138916,,0,1032,9
CTL,39,OWZ_CTL_39_0235,235,-15430410,29.823158264160156,287.27978515625,2.935037851333618,,0,1033,9
CTL,39,OWZ_CTL_39_0235,235,-15430404,29.83171272277832,287.4421081542969,3.401348352432251,,0,1034,9
CTL,39,OWZ_CTL_39_0235,235,-15430398,28.964210510253906,290.0625,2.0001003742218018,,0,1035,9
CTL,39,OWZ_CTL_39_0235,235,-15430392,28.691246032714844,290.6295471191406,2.540133476257324,,0,1036,9
CTL,39,OWZ_CTL_39_0235,235,-15430386,28.586315155029297,289.0115661621094,2.7564632892608643,,0,1037,9
CTL,39,OWZ_CTL_39_0235,235,-15430380,29.36842155456543,289.5986328125,3.8913207054138184,1.5591176748275757,0,1038,9
CTL,39,OWZ_CTL_39_0235,235,-15430374,29.65752410888672,288.32635498046875,3.3096604347229004,,0,1039,9
CTL,39,OWZ_CTL_39_0235,235,-15430368,29.583133697509766,288.4039306640625,3.7105228900909424,,0,1040,9
CTL,39,OWZ_CTL_39_0238,238,-15430410,30.91530990600586,304.8174743652344,3.9727766513824463,,0,1033,9
